created_at,entry_id,field1
2025-02-17 14:02:09 UTC,1,57.89960
2025-02-17 14:02:39 UTC,2,57.49393
2025-02-17 14:03:09 UTC,3,63.75025
2025-02-17 14:03:39 UTC,4,62.26537
2025-02-17 14:04:10 UTC,5,61.84149
2025-02-17 14:04:40 UTC,6,73.36285
2025-02-17 14:05:10 UTC,7,60.77642
2025-02-17 14:05:59 UTC,8,nan
2025-02-17 14:06:30 UTC,9,nan
2025-02-17 14:07:00 UTC,10,nan
2025-02-17 14:07:31 UTC,11,nan
2025-02-17 14:08:01 UTC,12,nan
2025-02-17 14:10:08 UTC,13,68.10143
2025-02-17 14:20:39 UTC,14,76.46354
2025-02-17 14:21:09 UTC,15,73.04516
2025-02-17 14:21:39 UTC,16,69.50815
2025-02-17 14:22:09 UTC,17,71.00852
2025-02-17 14:22:40 UTC,18,70.21084
2025-02-17 14:23:10 UTC,19,69.49857
2025-02-17 14:23:40 UTC,20,78.38737
2025-02-17 14:24:11 UTC,21,69.26577
2025-02-17 14:24:41 UTC,22,70.42287
2025-02-17 14:25:11 UTC,23,70.80868
2025-02-17 14:25:41 UTC,24,67.77647
2025-02-17 14:26:12 UTC,25,71.55396
2025-02-17 14:26:44 UTC,26,74.13970
2025-02-17 14:27:12 UTC,27,69.71669
2025-02-17 14:27:42 UTC,28,76.84325
2025-02-17 14:28:12 UTC,29,73.03843
2025-02-17 14:28:42 UTC,30,81.16715
2025-02-17 14:29:12 UTC,31,82.35096
2025-02-17 14:29:43 UTC,32,82.79951
2025-02-17 14:30:13 UTC,33,82.66936
2025-02-17 14:30:43 UTC,34,78.19234
2025-02-17 14:31:14 UTC,35,83.68462
2025-02-17 14:31:44 UTC,36,78.18028
2025-02-17 14:32:15 UTC,37,81.42645
