created_at,entry_id,field1
2025-02-17 14:14:41 UTC,1,61.86209
2025-02-17 14:15:10 UTC,2,63.45636
2025-02-17 14:16:12 UTC,3,65.61031
2025-02-17 14:16:42 UTC,4,63.93591
2025-02-17 14:17:13 UTC,5,65.91674
2025-02-17 14:17:45 UTC,6,63.29721
2025-02-17 14:18:12 UTC,7,65.62444
2025-02-17 14:18:46 UTC,8,65.73680
2025-02-17 14:19:13 UTC,9,61.31226
2025-02-17 14:19:43 UTC,10,64.70799
2025-02-17 14:20:16 UTC,11,64.86161
2025-02-17 14:20:46 UTC,12,66.16065
2025-02-17 14:21:14 UTC,13,68.28712
2025-02-17 14:21:47 UTC,14,64.45720
2025-02-17 14:22:15 UTC,15,62.46107
2025-02-17 14:22:45 UTC,16,65.43912
2025-02-17 14:23:17 UTC,17,64.81577
2025-02-17 14:23:46 UTC,18,63.31502
2025-02-17 14:24:15 UTC,19,63.85194
2025-02-17 14:24:46 UTC,20,66.92084
